"contactor","contactee","contact.rate"
"60","17",28.7725225225225
"65","17",19.2105263157895
"65+","17",14.1682070240296
"1","18",27.1808510638298
"2","18",24.3333333333333
"3","18",23.1338028169014
"4","18",21.9
"5","18",19.3377483443709
"6","18",29.0066225165563
"7","18",7.93478260869565
"8","18",29.7407407407407
"9","18",15.7553956834532
"10","18",19.0104166666667
"11","18",55.7251908396947
"12","18",45.625
"13","18",81.4028776978417
"14","18",47.956204379562
"15","18",270
"16","18",309.769736842105
"17","18",671.055900621118
"18","18",1410.75396825397
"19","18",812.054263565891
"20","18",295.173913043478
"25","18",83.67903930131
"30","18",54.0412621359223
"35","18",34.1298701298701
"40","18",52.7505827505827
"45","18",83.59410430839
"50","18",75.0541125541125
"55","18",56.8311403508772
"60","18",83.8513513513514
"65","18",21.7162471395881
"65+","18",17.5415896487985
"1","19",23.2978723404255
"2","19",24.3333333333333
"3","19",33.4154929577465
"4","19",17.0333333333333
"5","19",12.0860927152318
"6","19",19.3377483443709
"7","19",7.93478260869565
"8","19",43.2592592592593
"9","19",23.6330935251799
"10","19",22.8125
"11","19",30.6488549618321
"12","19",13.6875
"13","19",44.6402877697842
"14","19",63.9416058394161
"15","19",127.5
"16","19",93.6513157894737
"17","19",326.459627329193
"18","19",753.174603174603
"19","19",1485.46511627907
"20","19",530.04347826087
"25","19",147.434497816594
"30","19",43.4101941747573
"35","19",27.4935064935065
"40","19",55.3030303030303
"45","19",61.2471655328798
"50","19",73.474025974026
"55","19",76.0416666666667
"60","19",32.0608108108108
"65","19",28.3981693363844
"65+","19",24.9630314232902
"1","20",15.531914893617
"2","20",21.2916666666667
"3","20",35.9859154929577
"4","20",0
"5","20",16.9205298013245
"6","20",58.0132450331126
"7","20",13.2246376811594
"8","20",5.40740740740741
"9","20",36.7625899280576
"10","20",3.80208333333333
"11","20",22.2900763358779
"12","20",20.53125
"13","20",28.8848920863309
"14","20",42.6277372262774
"15","20",55
"16","20",91.25
"17","20",151.894409937888
"18","20",336.031746031746
"19","20",642.286821705426
"20","20",876
"25","20",253.427947598253
"30","20",62.9004854368932
"35","20",43.6103896103896
"40","20",39.1375291375291
"45","20",49.6598639455782
"50","20",93.2251082251082
"55","20",60.0328947368421
"60","20",36.9932432432432
"65","20",18.3752860411899
"65+","20",14.8428835489834
"1","25",159.202127659574
"2","25",237.25
"3","25",197.922535211268
"4","25",99.7666666666667
"5","25",67.682119205298
"6","25",120.860927152318
"7","25",84.6376811594203
"8","25",86.5185185185185
"9","25",99.7841726618705
"10","25",140.677083333333
"11","25",122.595419847328
"12","25",141.4375
"13","25",133.920863309353
"14","25",146.532846715328
"15","25",187.5
"16","25",201.710526315789
"17","25",358.198757763975
"18","25",524.325396825397
"19","25",809.22480620155
"20","25",952.173913043478
"25","25",1356.39737991266
"30","25",645.837378640777
"35","25",292.948051948052
"40","25",253.543123543124
"45","25",316.167800453515
"50","25",327.867965367965
"55","25",315.372807017544
"60","25",224.425675675676
"65","25",159.530892448513
"65+","25",86.358595194085
"1","30",314.521276595745
"2","30",407.583333333333
"3","30",267.323943661972
"4","30",265.233333333333
"5","30",280.397350993377
"6","30",338.41059602649
"7","30",232.753623188406
"8","30",154.111111111111
"9","30",207.446043165468
"10","30",201.510416666667
"11","30",181.106870229008
"12","30",107.21875
"13","30",152.302158273381
"14","30",175.839416058394
"15","30",145
"16","30",163.289473684211
"17","30",192.701863354037
"18","30",211.468253968254
"19","30",430.077519379845
"20","30",292
"25","30",671.026200873362
"30","30",922.245145631068
"35","30",546.077922077922
"40","30",439.020979020979
"45","30",365.827664399093
"50","30",364.209956709957
"55","30",438.640350877193
"60","30",352.668918918919
"65","30",258.089244851259
"65+","30",150.452865064695
"1","35",508.670212765957
"2","35",398.458333333333
"3","35",393.274647887324
"4","35",413.666666666667
"5","35",406.092715231788
"6","35",444.76821192053
"7","35",439.057971014493
"8","35",327.148148148148
"9","35",304.604316546763
"10","35",269.947916666667
"11","35",317.63358778626
"12","35",152.84375
"13","35",246.834532374101
"14","35",213.138686131387
"15","35",210
"16","35",168.092105263158
"17","35",172.298136645963
"18","35",185.396825396825
"19","35",200.891472868217
"20","35",263.434782608696
